year,week,player,brier,pick_acc,conf_rank_corr,conf_mae
2024,6,ShowMeYourTDs,0.1878040821786208,0.7857142857142857,0.8285714285714285,1.8571428571428572
2024,6,Knoll34,0.08611257792131695,0.9285714285714286,0.6043956043956044,2.857142857142857
2024,6,Bucky Swirving,0.11955695995535713,0.7857142857142857,0.8065934065934066,2.0
2024,6,RICHDOG !!!!!!,0.11132977634422321,0.7857142857142857,0.432967032967033,3.2857142857142856
2024,6,Victorious Bastard,0.16442370189283056,0.7857142857142857,0.8945054945054945,1.4285714285714286
2024,6,Oski no 1,0.13303828696149553,0.7857142857142857,0.6747252747252748,2.2857142857142856
2024,6,Boats n Hoes,0.09238431333333333,0.8571428571428571,0.5648351648351648,3.2857142857142856
2024,6,BigShroomSecurity,0.19442797815144966,0.7142857142857143,0.6087912087912088,2.857142857142857
2024,6,MDTwinTeam,0.23684682,0.7142857142857143,0.9340659340659341,1.0
2024,6,Diddypicks,0.20521170180521284,0.7142857142857143,0.8417582417582418,1.7142857142857142
2024,6,Mickey's Team,0.18628120049442626,0.7142857142857143,0.5296703296703297,3.4285714285714284
2024,6,TD's Nutz,0.18832825921595983,0.7142857142857143,0.8197802197802198,1.5714285714285714
2024,6,Jason B,0.1375168271019345,0.8571428571428571,0.3010989010989011,4.142857142857143
2024,6,Reggie,0.16469463817336308,0.7142857142857143,0.7978021978021977,2.2857142857142856
2024,6,Piru’s Picks,0.18835066570312506,0.6428571428571429,0.9384615384615385,1.1428571428571428
2024,6,OB1,0.18481973433838442,0.6428571428571429,0.7978021978021977,2.0
2024,6,Weird,0.11568400649274556,0.8571428571428571,0.5076923076923077,2.7142857142857144
2024,6,Lenzen,0.14783785035430394,0.7857142857142857,-0.032967032967032975,5.0
2024,6,Arcedinero,0.17431919495535714,0.7142857142857143,0.6263736263736264,2.2857142857142856
2024,6,Rent’s Due Again,0.0980709573524112,0.8571428571428571,0.23956043956043957,3.857142857142857
2024,6,Pikachu,0.27654051245907735,0.5714285714285714,0.5076923076923077,2.7142857142857144
2024,6,EChev,0.2980641028124999,0.5714285714285714,0.6835164835164835,2.857142857142857
2024,6,Big Daddy125,0.15524531839285713,0.7142857142857143,0.3494505494505495,3.0
2024,6,John K,0.28513440003809526,0.5,0.7758241758241758,2.142857142857143
2024,6,Tone 3132,0.25357952479631696,0.5714285714285714,0.7098901098901099,2.142857142857143
2024,6,GOOD,0.27001682710193453,0.5714285714285714,0.4197802197802198,3.5714285714285716
2024,6,#FlytheW,0.29645793138392856,0.5,0.5648351648351648,2.857142857142857
2024,6,Firman's Educated Guesses,0.3859614093912797,0.35714285714285715,-0.15604395604395604,4.714285714285714
2024,9,Ballbusters,0.11543886947590787,0.8666666666666667,0.8464285714285712,1.8666666666666667
2024,9,Piru’s Picks,0.06188191983333334,1.0,0.6249999999999999,3.066666666666667
2024,9,OneNDone,0.0697363744212963,0.9333333333333333,0.782142857142857,2.0
2024,9,9 inches,0.09196948491976525,0.8666666666666667,0.8035714285714284,2.4
2024,9,Boldz36,0.11547056598639457,0.8666666666666667,0.8964285714285712,1.4666666666666666
2024,9,Bucky Swirving,0.11527835029629628,0.8,0.7142857142857142,2.533333333333333
2024,9,Fishy Picks,0.12965857785185186,0.8,0.7535714285714286,1.8666666666666667
2024,9,Brock,0.08044858453240741,0.9333333333333333,0.8642857142857141,1.8666666666666667
2024,9,Boats n Hoes,0.09448503229629628,0.8666666666666667,0.6214285714285712,3.066666666666667
2024,9,OB1,0.13890729457817616,0.7333333333333333,0.8464285714285712,1.7333333333333334
2024,9,Mickey's Team,0.06821322014634408,0.9333333333333333,0.7142857142857142,2.6666666666666665
2024,9,Arcedinero,0.11506108007407409,0.8666666666666667,-0.09285714285714285,4.933333333333334
2024,9,Handsup,0.10644977431018518,0.8,0.8892857142857141,1.7333333333333334
2024,9,Oski no 1,0.08026630912499999,0.8666666666666667,0.657142857142857,2.8
2024,9,DADDY YANKEE,0.11181292001035707,0.8666666666666667,0.5428571428571428,3.066666666666667
2024,9,EChev,0.13615835029629628,0.8,0.8142857142857142,1.8666666666666667
2024,9,Pikachu,0.12098972812962962,0.7333333333333333,0.5178571428571428,3.2
2024,9,GOOD,0.14554008101851848,0.7333333333333333,0.5357142857142856,2.4
2024,9,NoWayIGotMorePointsThenYou?!?!,0.09032680727578299,0.8666666666666667,0.7749999999999999,2.2666666666666666
2024,9,Sutterbrown,0.08969226486574075,0.9333333333333333,0.7642857142857141,2.1333333333333333
2024,9,BFense,0.0658063575709021,0.9333333333333333,0.39642857142857135,3.6
2024,9,FastEddie,0.06842463590711365,0.9333333333333333,0.7499999999999999,2.2666666666666666
2024,9,#FlytheW,0.15346873400000002,0.7333333333333333,0.7357142857142855,2.4
2024,9,ShowMeYourTDs,0.1546230324515794,0.7333333333333333,0.4107142857142856,3.066666666666667
2024,9,MDTwinTeam,0.25217275733333333,0.6666666666666666,0.8499999999999999,1.6
2024,9,Diddypicks,0.1329813106825662,0.8666666666666667,0.8035714285714284,2.1333333333333333
2024,9,Tone 3132,0.12655689486574076,0.8,0.7285714285714285,2.533333333333333
2024,9,Reggie,0.18869871612962966,0.6666666666666666,0.8035714285714284,2.2666666666666666
2024,9,TD's Nutz,0.06874757212499999,0.9333333333333333,0.2071428571428571,4.266666666666667
2024,9,Knoll34,0.10227515745833335,0.8666666666666667,0.8607142857142854,1.8666666666666667
2024,9,Victorious Bastard,0.1324119529181497,0.8666666666666667,0.8178571428571428,2.0
2024,9,Rent’s Due Again,0.18381468121383104,0.8,0.8214285714285712,1.8666666666666667
2024,9,thol1572,0.1063298922547153,0.8,0.7,2.533333333333333
2024,9,NFL in PINK,0.08789349079166668,0.8666666666666667,0.6392857142857141,3.3333333333333335
2024,9,Weird,0.135314324125,0.8666666666666667,0.782142857142857,1.8666666666666667
2024,9,KKRAHN21,0.1563092387916667,0.7333333333333333,0.8678571428571429,1.7333333333333334
2024,9,Johnsonmaia06,0.10301810503550943,0.8666666666666667,0.8178571428571428,2.0
2024,9,Lenzen,0.12606053820972665,0.7333333333333333,0.5714285714285713,3.066666666666667
2024,9,California Dreaming,0.08256047407407406,0.8666666666666667,0.5892857142857142,3.2
2024,9,Omar,0.13719085706949574,0.7333333333333333,0.8357142857142855,2.1333333333333333
2024,9,Balz Deep,0.15716079835185184,0.7333333333333333,0.8142857142857142,2.1333333333333333
2024,9,Big Daddy125,0.1973056426666667,0.6666666666666666,0.8178571428571428,2.0
2024,9,Firman's Educated Guesses,0.19633061676791375,0.6666666666666666,0.21428571428571427,3.8666666666666667
2024,9,sawyer 0-4 Michigan owns day,0.20674313035185185,0.6,0.8535714285714284,1.8666666666666667
2024,9,Jason B,0.22292896990740743,0.6,0.5928571428571427,3.2
2024,9,Mopar,0.15672132916666665,0.7333333333333333,0.6678571428571428,2.6666666666666665
2024,9,BigShroomSecurity,0.21654679633735852,0.6,0.8678571428571429,1.8666666666666667
2024,9,Hennything Possible,0.11509643727058934,0.7333333333333333,0.5785714285714285,3.066666666666667
2024,9,Matt,0.15919285879629627,0.7333333333333333,0.30357142857142855,3.8666666666666667
